SEX,DESIGNATION,AGE,SALARY,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,nb_months,yearsMonths,UNIT_Finance,UNIT_IT,UNIT_Management,UNIT_Marketing,UNIT_Operations,UNIT_Web,nb_months_log,yearsMonths_log,PAST EXP grouped,LEAVES REMAINING Z,LEAVES USED Z,DESIGNATION M
1,4,3.4011973816621555,12.159243058173375,25,5,2,4.0,70,5.833333333333333,0,0,0,1,0,0,4.248495242049359,1.7635885922613586,2,-0.5327112571451391,0.5327112571451391,3
0,0,3.091042453358316,10.667628933920138,21,9,3,0.0,32,2.6666666666666665,0,0,0,0,0,1,3.4657359027997265,0.9808292530117262,0,0.33244710192522203,-0.33244710192522203,0
1,0,3.1354942159291497,10.681297520974782,20,10,4,0.0,25,2.0833333333333335,1,0,0,0,0,0,3.2188758248682006,0.7339691750802005,0,0.5487366916928124,-0.5487366916928124,0
0,5,3.4011973816621555,12.869049236745003,27,3,2,4.0,34,2.8333333333333335,0,0,0,1,0,0,3.5263605246161616,1.0414538748281612,2,-0.9652904366803198,0.9652904366803198,3
0,0,3.1354942159291497,10.605445801374623,20,10,2,0.0,21,1.75,0,0,1,0,0,0,3.044522437723423,0.5596157879354227,0,0.5487366916928124,-0.5487366916928124,0
1,0,3.044522437723423,10.644924772223822,18,12,2,0.0,29,2.4166666666666665,0,0,0,0,1,0,3.367295829986474,0.8823891801984737,0,0.9813158712279929,-0.9813158712279929,0
1,0,3.2188758248682006,10.748754781156906,16,14,3,1.0,30,2.5,0,0,0,0,0,1,3.4011973816621555,0.9162907318741551,1,1.4138950507631736,-1.4138950507631736,0
0,2,3.332204510175204,11.328966568466898,22,8,2,4.0,28,2.3333333333333335,0,0,0,1,0,0,3.332204510175204,0.8472978603872037,2,0.11615751215763173,-0.11615751215763173,2
0,0,3.091042453358316,10.73852484409569,21,9,4,0.0,27,2.25,0,0,0,0,1,0,3.295836866004329,0.8109302162163288,0,0.33244710192522203,-0.33244710192522203,0
1,0,3.091042453358316,10.813820572436036,29,1,3,0.0,36,3.0,0,0,0,0,1,0,3.58351893845611,1.0986122886681098,0,-1.3978696162155004,1.3978696162155004,0
1,0,3.2188758248682006,10.762932762790928,23,7,2,2.0,26,2.1666666666666665,0,0,1,0,0,0,3.258096538021482,0.7731898882334817,1,-0.10013207760995856,0.10013207760995856,0
1,0,3.091042453358316,10.67151026774118,15,15,3,0.0,13,1.0833333333333333,1,0,0,0,0,0,2.5649493574615367,0.08004270767353636,0,1.6301846405307638,-1.6301846405307638,0
0,0,3.1354942159291497,10.645043872303761,29,1,4,0.0,19,1.5833333333333335,0,0,1,0,0,0,2.9444389791664403,0.45953232937844024,0,-1.3978696162155004,1.3978696162155004,0
1,5,3.4011973816621555,12.818245643061415,21,9,3,4.0,16,1.3333333333333333,0,0,1,0,0,0,2.772588722239781,0.28768207245178085,2,0.33244710192522203,-0.33244710192522203,3
1,4,3.4011973816621555,12.112497958886017,20,10,5,4.0,47,3.9166666666666665,0,0,0,0,0,1,3.8501476017100584,1.3652409519220583,2,0.5487366916928124,-0.5487366916928124,3
0,0,3.091042453358316,10.625197894220388,20,10,5,0.0,33,2.75,0,1,0,0,0,0,3.4965075614664802,1.0116009116784799,0,0.5487366916928124,-0.5487366916928124,0
1,0,3.1780538303479458,10.766082105406422,23,7,2,0.0,33,2.75,0,0,1,0,0,0,3.4965075614664802,1.0116009116784799,0,-0.10013207760995856,0.10013207760995856,0
1,0,3.1354942159291497,10.774927351272387,26,4,2,1.0,15,1.25,0,0,1,0,0,0,2.70805020110221,0.22314355131420976,1,-0.7490008469127294,0.7490008469127294,0
0,0,3.091042453358316,10.716615352295944,17,13,2,0.0,12,1.0,0,0,0,0,1,0,2.4849066497880004,0.0,0,1.1976054609955833,-1.1976054609955833,0
0,4,3.4011973816621555,12.158068672231693,30,0,5,4.0,38,3.1666666666666665,1,0,0,0,0,0,3.6375861597263857,1.1526795099383853,2,-1.6141592059830907,1.6141592059830907,3
0,0,3.044522437723423,10.79851378910556,29,1,4,0.0,35,2.9166666666666665,0,0,0,1,0,0,3.5553480614894135,1.0704414117014134,0,-1.3978696162155004,1.3978696162155004,0
0,0,3.1780538303479458,10.68329396475648,16,14,2,2.0,15,1.25,0,0,0,0,1,0,2.70805020110221,0.22314355131420976,1,1.4138950507631736,-1.4138950507631736,0
1,0,3.091042453358316,10.610586946714077,26,4,5,0.0,19,1.5833333333333335,1,0,0,0,0,0,2.9444389791664403,0.45953232937844024,0,-0.7490008469127294,0.7490008469127294,0
1,0,3.1780538303479458,10.622424304782367,28,2,2,0.0,35,2.9166666666666665,0,0,0,0,0,1,3.5553480614894135,1.0704414117014134,0,-1.18158002644791,1.18158002644791,0
1,4,3.4011973816621555,12.028010006656594,26,4,5,4.0,62,5.166666666666667,0,0,0,0,1,0,4.127134385045092,1.6422277352570913,2,-0.7490008469127294,0.7490008469127294,3
1,0,3.1354942159291497,10.630891221774164,16,14,4,0.0,35,2.9166666666666665,0,1,0,0,0,0,3.5553480614894135,1.0704414117014134,0,1.4138950507631736,-1.4138950507631736,0
0,0,3.1354942159291497,10.804969168756575,29,1,3,0.0,22,1.8333333333333335,0,1,0,0,0,0,3.091042453358316,0.6061358035703156,0,-1.3978696162155004,1.3978696162155004,0
1,0,3.091042453358316,10.637608716065499,15,15,4,0.0,13,1.0833333333333333,0,0,0,0,1,0,2.5649493574615367,0.08004270767353636,0,1.6301846405307638,-1.6301846405307638,0
0,0,3.1780538303479458,10.638040557154692,30,0,2,0.0,33,2.75,0,0,0,0,0,1,3.4965075614664802,1.0116009116784799,0,-1.6141592059830907,1.6141592059830907,0
1,0,3.2188758248682006,10.736222747303128,30,0,4,2.0,25,2.0833333333333335,1,0,0,0,0,0,3.2188758248682006,0.7339691750802005,1,-1.6141592059830907,1.6141592059830907,0
1,0,3.044522437723423,10.760940814685789,21,9,3,0.0,23,1.9166666666666665,0,0,1,0,0,0,3.1354942159291497,0.6505875661411493,0,0.33244710192522203,-0.33244710192522203,0
1,1,3.2188758248682006,10.992015834750218,23,7,3,0.0,44,3.6666666666666665,0,0,0,0,1,0,3.784189633918261,1.2992829841302609,0,-0.10013207760995856,0.10013207760995856,1
0,0,3.091042453358316,10.79585437629091,17,13,2,0.0,27,2.25,0,1,0,0,0,0,3.295836866004329,0.8109302162163288,0,1.1976054609955833,-1.1976054609955833,0
1,0,3.091042453358316,10.705870231302164,28,2,2,0.0,20,1.6666666666666665,0,0,1,0,0,0,2.995732273553991,0.5108256237659906,0,-1.18158002644791,1.18158002644791,0
0,1,3.332204510175204,11.100194020870019,17,13,5,3.0,22,1.8333333333333335,0,0,0,1,0,0,3.091042453358316,0.6061358035703156,1,1.1976054609955833,-1.1976054609955833,1
0,3,3.4011973816621555,11.769047208461583,22,8,4,3.0,68,5.666666666666667,0,0,0,0,1,0,4.219507705176107,1.7346010553881064,1,0.11615751215763173,-0.11615751215763173,3
1,0,3.2188758248682006,10.683156406867319,30,0,5,2.0,26,2.1666666666666665,0,0,0,0,1,0,3.258096538021482,0.7731898882334817,1,-1.6141592059830907,1.6141592059830907,0
0,0,3.091042453358316,10.72247411793522,20,10,2,0.0,22,1.8333333333333335,0,0,0,0,0,1,3.091042453358316,0.6061358035703156,0,0.5487366916928124,-0.5487366916928124,0
0,0,3.044522437723423,10.754727632155955,16,14,4,0.0,27,2.25,0,0,0,0,1,0,3.295836866004329,0.8109302162163288,0,1.4138950507631736,-1.4138950507631736,0
1,5,3.4011973816621555,12.273670544495223,24,6,5,4.0,61,5.083333333333333,0,0,0,0,0,1,4.110873864173311,1.6259672143853108,2,-0.31642166737754884,0.31642166737754884,3
0,2,3.367295829986474,11.177284882428873,30,0,2,1.0,52,4.333333333333333,0,1,0,0,0,0,3.9512437185814275,1.466337068793427,1,-1.6141592059830907,1.6141592059830907,2
1,0,3.044522437723423,10.795506083434564,23,7,3,0.0,14,1.1666666666666667,1,0,0,0,0,0,2.6390573296152584,0.15415067982725836,0,-0.10013207760995856,0.10013207760995856,0
0,1,3.295836866004329,10.885678378186986,27,3,3,3.0,16,1.3333333333333333,0,0,0,0,0,1,2.772588722239781,0.28768207245178085,1,-0.9652904366803198,0.9652904366803198,1
1,1,3.2188758248682006,10.861169716770034,15,15,3,0.0,19,1.5833333333333335,0,0,0,1,0,0,2.9444389791664403,0.45953232937844024,0,1.6301846405307638,-1.6301846405307638,1
0,1,3.295836866004329,11.146214615088313,19,11,3,4.0,19,1.5833333333333335,0,0,0,0,0,1,2.9444389791664403,0.45953232937844024,2,0.7650262814604026,-0.7650262814604026,1
1,0,3.1354942159291497,10.72601690459581,17,13,5,0.0,35,2.9166666666666665,0,0,1,0,0,0,3.5553480614894135,1.0704414117014134,0,1.1976054609955833,-1.1976054609955833,0
1,0,3.1354942159291497,10.786345588321883,19,11,2,0.0,30,2.5,0,0,0,0,0,1,3.4011973816621555,0.9162907318741551,0,0.7650262814604026,-0.7650262814604026,0
1,1,3.2188758248682006,11.131943191352988,26,4,5,0.0,26,2.1666666666666665,0,0,0,0,1,0,3.258096538021482,0.7731898882334817,0,-0.7490008469127294,0.7490008469127294,1
1,0,3.044522437723423,10.702502620019327,28,2,2,0.0,19,1.5833333333333335,0,0,0,1,0,0,2.9444389791664403,0.45953232937844024,0,-1.18158002644791,1.18158002644791,0
1,0,3.2188758248682006,10.765638838309634,15,15,2,2.0,24,2.0,1,0,0,0,0,0,3.1780538303479458,0.6931471805599453,1,1.6301846405307638,-1.6301846405307638,0
0,0,3.1354942159291497,10.811967862318307,28,2,2,0.0,35,2.9166666666666665,0,0,1,0,0,0,3.5553480614894135,1.0704414117014134,0,-1.18158002644791,1.18158002644791,0
0,0,3.044522437723423,10.804603731039336,30,0,3,0.0,20,1.6666666666666665,0,1,0,0,0,0,2.995732273553991,0.5108256237659906,0,-1.6141592059830907,1.6141592059830907,0
0,0,3.091042453358316,10.629319711713425,22,8,2,0.0,30,2.5,0,0,1,0,0,0,3.4011973816621555,0.9162907318741551,0,0.11615751215763173,-0.11615751215763173,0
1,0,3.044522437723423,10.767600388351703,16,14,4,0.0,32,2.6666666666666665,0,0,0,0,0,1,3.4657359027997265,0.9808292530117262,0,1.4138950507631736,-1.4138950507631736,0
1,0,3.2188758248682006,10.69914619404915,25,5,2,1.0,30,2.5,0,0,0,0,1,0,3.4011973816621555,0.9162907318741551,1,-0.5327112571451391,0.5327112571451391,0
1,2,3.4011973816621555,11.507028109704144,21,9,5,4.0,29,2.4166666666666665,0,0,0,1,0,0,3.367295829986474,0.8823891801984737,2,0.33244710192522203,-0.33244710192522203,2
0,0,3.1354942159291497,10.791111284394898,17,13,4,0.0,30,2.5,0,0,1,0,0,0,3.4011973816621555,0.9162907318741551,0,1.1976054609955833,-1.1976054609955833,0
1,0,3.091042453358316,10.653062324394716,22,8,3,0.0,32,2.6666666666666665,1,0,0,0,0,0,3.4657359027997265,0.9808292530117262,0,0.11615751215763173,-0.11615751215763173,0
0,0,3.044522437723423,10.631422558581738,17,13,5,0.0,17,1.4166666666666667,0,0,0,1,0,0,2.833213344056216,0.3483066942682158,0,1.1976054609955833,-1.1976054609955833,0
1,1,3.258096538021482,11.03417973466765,29,1,2,0.0,44,3.6666666666666665,1,0,0,0,0,0,3.784189633918261,1.2992829841302609,0,-1.3978696162155004,1.3978696162155004,1
1,0,3.1780538303479458,10.646662226695721,25,5,5,1.0,22,1.8333333333333335,0,1,0,0,0,0,3.091042453358316,0.6061358035703156,1,-0.5327112571451391,0.5327112571451391,0
0,0,3.091042453358316,10.665227524561685,22,8,4,0.0,14,1.1666666666666667,0,0,0,0,1,0,2.6390573296152584,0.15415067982725836,0,0.11615751215763173,-0.11615751215763173,0
1,1,3.332204510175204,10.95399444252939,28,2,4,3.0,29,2.4166666666666665,0,0,1,0,0,0,3.367295829986474,0.8823891801984737,1,-1.18158002644791,1.18158002644791,1
1,0,3.2188758248682006,10.62885988039081,27,3,2,2.0,18,1.5,0,0,0,0,1,0,2.8903717578961645,0.4054651081081644,1,-0.9652904366803198,0.9652904366803198,0
1,1,3.2188758248682006,11.047567030084219,23,7,5,0.0,37,3.0833333333333335,0,0,0,0,0,1,3.6109179126442243,1.1260112628562242,0,-0.10013207760995856,0.10013207760995856,1
1,0,3.044522437723423,10.620229181949702,23,7,3,0.0,17,1.4166666666666667,1,0,0,0,0,0,2.833213344056216,0.3483066942682158,0,-0.10013207760995856,0.10013207760995856,0
1,0,3.091042453358316,10.816392559306074,21,9,5,0.0,11,0.9166666666666666,0,0,0,0,0,1,2.3978952727983707,-0.08701137698962981,0,0.33244710192522203,-0.33244710192522203,0
1,0,3.1354942159291497,10.729941100404298,19,11,5,1.0,11,0.9166666666666666,0,0,0,0,0,1,2.3978952727983707,-0.08701137698962981,1,0.7650262814604026,-0.7650262814604026,0
0,0,3.044522437723423,10.758200708677464,27,3,2,0.0,15,1.25,0,0,0,1,0,0,2.70805020110221,0.22314355131420976,0,-0.9652904366803198,0.9652904366803198,0
0,0,3.091042453358316,10.604404470360434,29,1,4,0.0,24,2.0,0,0,0,0,1,0,3.1780538303479458,0.6931471805599453,0,-1.3978696162155004,1.3978696162155004,0
0,0,3.044522437723423,10.705466716232126,19,11,4,0.0,35,2.9166666666666665,0,0,0,0,0,1,3.5553480614894135,1.0704414117014134,0,0.7650262814604026,-0.7650262814604026,0
0,2,3.4011973816621555,11.413237717582938,19,11,3,3.0,56,4.666666666666667,0,0,0,1,0,0,4.02535169073515,1.540445040947149,1,0.7650262814604026,-0.7650262814604026,2
0,0,3.1354942159291497,10.72260637265801,29,1,5,0.0,19,1.5833333333333335,0,0,0,0,0,1,2.9444389791664403,0.45953232937844024,0,-1.3978696162155004,1.3978696162155004,0
0,0,3.2188758248682006,10.819298169173406,25,5,2,1.0,30,2.5,0,0,0,0,0,1,3.4011973816621555,0.9162907318741551,1,-0.5327112571451391,0.5327112571451391,0
0,0,3.091042453358316,10.7178562946849,25,5,5,0.0,12,1.0,0,0,0,0,0,1,2.4849066497880004,0.0,0,-0.5327112571451391,0.5327112571451391,0
1,2,3.367295829986474,11.326511545872743,29,1,5,4.0,20,1.6666666666666665,1,0,0,0,0,0,2.995732273553991,0.5108256237659906,2,-1.3978696162155004,1.3978696162155004,2
0,1,3.258096538021482,11.023714551176646,29,1,3,1.0,16,1.3333333333333333,0,1,0,0,0,0,2.772588722239781,0.28768207245178085,1,-1.3978696162155004,1.3978696162155004,1
0,2,3.4011973816621555,11.37158077070386,15,15,3,4.0,26,2.1666666666666665,1,0,0,0,0,0,3.258096538021482,0.7731898882334817,2,1.6301846405307638,-1.6301846405307638,2
0,5,3.4011973816621555,12.357427993483716,16,14,4,4.0,40,3.3333333333333335,0,1,0,0,0,0,3.6888794541139363,1.2039728043259361,2,1.4138950507631736,-1.4138950507631736,3
0,0,3.1780538303479458,10.788308256940795,22,8,3,1.0,28,2.3333333333333335,1,0,0,0,0,0,3.332204510175204,0.8472978603872037,1,0.11615751215763173,-0.11615751215763173,0
1,0,3.1780538303479458,10.635615032736958,22,8,4,1.0,21,1.75,0,0,0,1,0,0,3.044522437723423,0.5596157879354227,1,0.11615751215763173,-0.11615751215763173,0
1,0,3.1780538303479458,10.743998145734295,18,12,4,2.0,12,1.0,1,0,0,0,0,0,2.4849066497880004,0.0,1,0.9813158712279929,-0.9813158712279929,0
0,0,3.1780538303479458,10.631325972886003,30,0,2,2.0,13,1.0833333333333333,0,0,0,1,0,0,2.5649493574615367,0.08004270767353636,1,-1.6141592059830907,1.6141592059830907,0
1,0,3.2188758248682006,10.620033826524304,20,10,2,3.0,13,1.0833333333333333,0,0,0,1,0,0,2.5649493574615367,0.08004270767353636,1,0.5487366916928124,-0.5487366916928124,0
1,0,3.044522437723423,10.63050461760369,21,9,5,0.0,25,2.0833333333333335,1,0,0,0,0,0,3.2188758248682006,0.7339691750802005,0,0.33244710192522203,-0.33244710192522203,0
1,0,3.044522437723423,10.749291440359002,28,2,3,0.0,34,2.8333333333333335,0,1,0,0,0,0,3.5263605246161616,1.0414538748281612,0,-1.18158002644791,1.18158002644791,0
0,2,3.4011973816621555,11.294358923149126,15,15,2,4.0,17,1.4166666666666667,1,0,0,0,0,0,2.833213344056216,0.3483066942682158,2,1.6301846405307638,-1.6301846405307638,2
0,1,3.295836866004329,10.821456874788838,27,3,2,1.0,14,1.1666666666666667,0,0,1,0,0,0,2.6390573296152584,0.15415067982725836,1,-0.9652904366803198,0.9652904366803198,1
1,0,3.044522437723423,10.64849161863629,19,11,4,0.0,21,1.75,1,0,0,0,0,0,3.044522437723423,0.5596157879354227,0,0.7650262814604026,-0.7650262814604026,0
1,0,3.1354942159291497,10.686841000982222,18,12,2,0.0,31,2.5833333333333335,0,0,0,0,1,0,3.4339872044851463,0.949080554697146,0,0.9813158712279929,-0.9813158712279929,0
1,0,3.1354942159291497,10.649227183215244,20,10,3,0.0,19,1.5833333333333335,1,0,0,0,0,0,2.9444389791664403,0.45953232937844024,0,0.5487366916928124,-0.5487366916928124,0
1,0,3.091042453358316,10.726060835536376,16,14,3,0.0,31,2.5833333333333335,0,1,0,0,0,0,3.4339872044851463,0.949080554697146,0,1.4138950507631736,-1.4138950507631736,0
1,0,3.1354942159291497,10.72680736639838,16,14,4,0.0,27,2.25,0,0,0,0,0,1,3.295836866004329,0.8109302162163288,0,1.4138950507631736,-1.4138950507631736,0
1,0,3.1354942159291497,10.722694532756806,28,2,3,1.0,12,1.0,0,0,0,0,1,0,2.4849066497880004,0.0,1,-1.18158002644791,1.18158002644791,0
1,0,3.044522437723423,10.79628445299455,17,13,3,0.0,33,2.75,1,0,0,0,0,0,3.4965075614664802,1.0116009116784799,0,1.1976054609955833,-1.1976054609955833,0
1,0,3.1780538303479458,10.676138834208672,29,1,4,1.0,27,2.25,0,0,0,0,0,1,3.295836866004329,0.8109302162163288,1,-1.3978696162155004,1.3978696162155004,0
0,0,3.044522437723423,10.60651080376628,26,4,3,0.0,27,2.25,0,0,0,1,0,0,3.295836866004329,0.8109302162163288,0,-0.7490008469127294,0.7490008469127294,0
1,0,3.044522437723423,10.688187864022686,22,8,2,0.0,31,2.5833333333333335,0,0,0,1,0,0,3.4339872044851463,0.949080554697146,0,0.11615751215763173,-0.11615751215763173,0
0,0,3.1780538303479458,10.675792433881902,22,8,3,2.0,12,1.0,0,0,0,0,1,0,2.4849066497880004,0.0,1,0.11615751215763173,-0.11615751215763173,0
0,0,3.091042453358316,10.672692588705143,21,9,4,0.0,35,2.9166666666666665,0,0,0,0,1,0,3.5553480614894135,1.0704414117014134,0,0.33244710192522203,-0.33244710192522203,0
0,0,3.091042453358316,10.661321680717888,25,5,2,0.0,24,2.0,0,0,0,0,1,0,3.1780538303479458,0.6931471805599453,0,-0.5327112571451391,0.5327112571451391,0
1,0,3.1780538303479458,10.739153740836397,15,15,2,0.0,34,2.8333333333333335,0,0,0,0,1,0,3.5263605246161616,1.0414538748281612,0,1.6301846405307638,-1.6301846405307638,0
1,1,3.2188758248682006,11.004181007408063,21,9,3,1.0,25,2.0833333333333335,1,0,0,0,0,0,3.2188758248682006,0.7339691750802005,1,0.33244710192522203,-0.33244710192522203,1
1,1,3.258096538021482,11.0869923082222,21,9,5,0.0,34,2.8333333333333335,0,0,0,1,0,0,3.5263605246161616,1.0414538748281612,0,0.33244710192522203,-0.33244710192522203,1
0,0,3.1354942159291497,10.730815914562093,23,7,2,1.0,14,1.1666666666666667,0,1,0,0,0,0,2.6390573296152584,0.15415067982725836,1,-0.10013207760995856,0.10013207760995856,0
0,0,3.044522437723423,10.748926543438332,27,3,4,0.0,29,2.4166666666666665,0,0,0,0,0,1,3.367295829986474,0.8823891801984737,0,-0.9652904366803198,0.9652904366803198,0
1,1,3.295836866004329,10.883222456966818,16,14,4,4.0,26,2.1666666666666665,1,0,0,0,0,0,3.258096538021482,0.7731898882334817,2,1.4138950507631736,-1.4138950507631736,1
1,0,3.1354942159291497,10.779247914030242,15,15,2,0.0,19,1.5833333333333335,0,0,0,1,0,0,2.9444389791664403,0.45953232937844024,0,1.6301846405307638,-1.6301846405307638,0
0,0,3.1354942159291497,10.646733564396538,19,11,3,1.0,14,1.1666666666666667,0,0,0,0,1,0,2.6390573296152584,0.15415067982725836,1,0.7650262814604026,-0.7650262814604026,0
1,0,3.1780538303479458,10.792612616337514,29,1,5,2.0,15,1.25,0,0,0,0,0,1,2.70805020110221,0.22314355131420976,1,-1.3978696162155004,1.3978696162155004,0
1,0,3.044522437723423,10.634676867382668,21,9,2,0.0,35,2.9166666666666665,0,0,0,0,1,0,3.5553480614894135,1.0704414117014134,0,0.33244710192522203,-0.33244710192522203,0
1,0,3.044522437723423,10.603386885918606,29,1,2,0.0,16,1.3333333333333333,0,0,0,0,0,1,2.772588722239781,0.28768207245178085,0,-1.3978696162155004,1.3978696162155004,0
1,0,3.1780538303479458,10.630552951299533,23,7,5,1.0,28,2.3333333333333335,0,0,1,0,0,0,3.332204510175204,0.8472978603872037,1,-0.10013207760995856,0.10013207760995856,0
0,0,3.044522437723423,10.699867987737726,25,5,4,0.0,32,2.6666666666666665,1,0,0,0,0,0,3.4657359027997265,0.9808292530117262,0,-0.5327112571451391,0.5327112571451391,0
1,0,3.091042453358316,10.734786684478816,29,1,2,0.0,15,1.25,1,0,0,0,0,0,2.70805020110221,0.22314355131420976,0,-1.3978696162155004,1.3978696162155004,0
0,0,3.044522437723423,10.683362736605897,16,14,4,0.0,18,1.5,0,0,0,0,0,1,2.8903717578961645,0.4054651081081644,0,1.4138950507631736,-1.4138950507631736,0
1,0,3.1780538303479458,10.721591972500457,29,1,4,2.0,15,1.25,0,0,0,1,0,0,2.70805020110221,0.22314355131420976,1,-1.3978696162155004,1.3978696162155004,0
0,0,3.091042453358316,10.79174911168878,16,14,2,0.0,26,2.1666666666666665,0,0,0,0,0,1,3.258096538021482,0.7731898882334817,0,1.4138950507631736,-1.4138950507631736,0
0,0,3.1354942159291497,10.691967639914864,26,4,3,1.0,13,1.0833333333333333,0,0,1,0,0,0,2.5649493574615367,0.08004270767353636,1,-0.7490008469127294,0.7490008469127294,0
1,0,3.044522437723423,10.79493216003758,24,6,2,0.0,17,1.4166666666666667,1,0,0,0,0,0,2.833213344056216,0.3483066942682158,0,-0.31642166737754884,0.31642166737754884,0
1,0,3.2188758248682006,10.762763389682739,17,13,5,2.0,20,1.6666666666666665,0,0,0,1,0,0,2.995732273553991,0.5108256237659906,1,1.1976054609955833,-1.1976054609955833,0
1,0,3.2188758248682006,10.675261053551264,18,12,4,2.0,22,1.8333333333333335,0,0,0,0,1,0,3.091042453358316,0.6061358035703156,1,0.9813158712279929,-0.9813158712279929,0
0,0,3.2188758248682006,10.688758021971879,16,14,2,2.0,28,2.3333333333333335,0,0,0,0,0,1,3.332204510175204,0.8472978603872037,1,1.4138950507631736,-1.4138950507631736,0
0,0,3.1354942159291497,10.695982206596772,24,6,4,0.0,19,1.5833333333333335,0,1,0,0,0,0,2.9444389791664403,0.45953232937844024,0,-0.31642166737754884,0.31642166737754884,0
1,1,3.295836866004329,11.00794936599313,16,14,2,0.0,34,2.8333333333333335,0,1,0,0,0,0,3.5263605246161616,1.0414538748281612,0,1.4138950507631736,-1.4138950507631736,1
